employee_id,age,department,education_level,region,remote_work,years_experience,monthly_salary,performance_score,satisfaction_score,bonus_pct
1591,33.0,HR,Masters,North,Yes,4.8,"$6,092.07",8.6,74.7,
1520,47.0,Finance,High School,West,Yes,23.2,"$9,955.98",7.6,62.5,4.48
1361,47.0,HR,Masters,West,No,23.4,"$9,023.23",6.1,62.8,1.3
1302,37.0,Sales,Bachelors,West,Yes,12.4,"$7,342.33",6.0,62.7,5.17
1621,29.0,Support,PhD,East,Yes,7.1,"$5,415.00",6.5,67.6,
1330,42.0,Engineering,Bachelors,East,No,18.7,"$11,410.04",5.6,,3.08
1468,37.0,HR,Masters,East,No,9.9,"$6,917.52",6.2,90.3,2.67
1135,52.0,Marketing,PhD,South,No,27.8,"$9,837.67",6.4,60.7,0.15
1149,52.0,Engineering,Masters,South,No,32.3,"$13,100.63",6.7,82.4,2.7
1001,40.0,Support,Bachelors,West,No,24.7,"$8,859.20",8.1,55.0,6.45
1121,29.0,Marketing,Bachelors,East,No,9.3,"$6,792.51",7.0,79.4,1.07
1018,25.0,Sales,PhD,North,No,3.3,"$5,710.01",8.5,62.1,0.48
1420,51.0,Finance,Bachelors,East,No,30.7,"$11,632.88",7.1,77.8,2.93
1536,32.0,Sales,Masters,North,No,16.6,"$7,799.67",6.6,69.8,
1525,45.0,Sales,Bachelors,South,Yes,24.5,"$8,939.39",9.1,99.9,
1083,38.0,Finance,High School,South,No,15.7,"$9,469.45",9.4,50.3,2.77
1133,41.0,Marketing,Bachelors,West,No,15.8,"$8,673.35",7.2,28.9,1.47
1615,39.0,Engineering,Bachelors,East,No,17.7,"$11,313.52",5.3,78.6,1.39
1410,48.0,HR,Masters,West,Yes,28.2,"$9,829.24",8.0,68.5,5.26
1550,34.0,Engineering,Masters,North,Yes,3.6,"$8,892.28",,94.1,
1583,22.0,Sales,Bachelors,East,No,2.8,"$6,045.50",7.9,69.4,6.02
1380,49.0,Support,Bachelors,South,Yes,28.1,"$8,593.38",6.9,83.9,1.11
1120,45.0,Marketing,Masters,North,No,24.5,"$9,280.70",7.4,60.0,0.86
1338,50.0,Support,High School,East,No,25.9,"$8,325.53",,43.9,
1156,,Support,High School,West,Yes,14.3,"$6,679.14",5.8,64.9,
1066,42.0,Marketing,Bachelors,East,No,15.1,"$7,920.20",,81.8,6.89
1102,22.0,Support,Bachelors,West,Yes,2.4,"$5,037.56",5.9,66.0,2.44
1012,38.0,HR,Masters,West,No,14.5,"$7,933.92",7.7,,0.63
1294,43.0,Sales,Bachelors,West,No,23.8,"$9,304.36",7.1,61.9,
1089,,Sales,Bachelors,East,No,19.2,"$8,030.18",5.8,85.8,14.35
1350,37.0,Sales,Bachelors,East,Yes,14.2,"$7,139.46",8.4,71.6,3.4
1208,29.0,Support,Masters,South,No,6.3,"$6,749.69",5.7,70.0,0.67
1607,47.0,Finance,Masters,West,No,22.3,"$9,854.79",8.1,69.5,1.83
1362,39.0,Sales,Bachelors,South,Yes,13.7,"$7,111.25",6.1,,4.5
1647,32.0,Sales,High School,West,No,9.9,"$6,892.82",5.7,59.4,2.02
1308,40.0,Marketing,Bachelors,West,No,20.1,"$8,641.44",,70.0,
1555,29.0,Sales,High School,North,No,4.6,"$5,831.02",7.3,,8.21
1246,34.0,Finance,Masters,South,Yes,11.0,"$8,221.62",6.5,55.4,
1278,,Marketing,Masters,West,No,23.7,"$9,172.12",10.0,59.4,
1551,62.0,Engineering,Bachelors,East,No,38.9,"$14,251.20",6.9,48.7,2.4
1256,54.0,Support,Masters,North,No,30.0,"$9,260.20",7.6,86.1,5.63
1458,47.0,Engineering,Bachelors,North,No,30.7,"$13,109.92",7.2,79.3,6.35
1108,40.0,Engineering,PhD,South,No,18.6,"$11,237.16",9.2,69.6,11.34
1046,42.0,Finance,Bachelors,North,Yes,22.2,"$10,189.45",7.3,73.4,
1641,27.0,Support,Bachelors,North,Yes,5.9,"$5,626.55",4.5,62.0,5.59
1122,36.0,Marketing,Bachelors,East,No,17.6,"$8,737.04",7.1,73.8,2.58
1346,58.0,Support,Bachelors,North,Yes,31.7,"$9,425.77",5.8,79.2,
1637,44.0,Support,Bachelors,South,No,26.2,"$8,348.85",6.7,79.5,
1050,39.0,Sales,Bachelors,South,No,19.0,"$7,972.14",7.0,,1.41
1324,22.0,Marketing,PhD,East,Yes,0.0,"$5,902.82",7.1,56.4,2.28
1395,53.0,Sales,High School,West,Yes,33.5,"$10,373.89",7.6,66.4,0.42
1198,52.0,Finance,Masters,East,No,34.7,"$12,129.80",4.9,45.2,3.18
1352,31.0,Sales,Bachelors,East,No,11.7,"$6,788.30",,,0.2
1561,39.0,Sales,Masters,North,Yes,15.4,"$7,555.41",,81.0,0.98
1610,42.0,Engineering,PhD,North,No,17.4,"$37,614.47",7.0,67.0,10.78
1413,36.0,Sales,Bachelors,North,Yes,10.8,"$6,989.13",7.7,92.2,4.31
1117,36.0,Support,Bachelors,South,Yes,9.1,"$6,558.88",9.7,38.1,2.99
1576,36.0,Marketing,Masters,East,Yes,18.7,"$8,617.42",5.7,79.2,2.75
1386,23.0,HR,Masters,East,Yes,0.7,"$6,008.64",5.8,,4.22
1527,34.0,HR,Bachelors,West,Yes,9.5,"$6,902.25",6.5,97.2,1.12
1619,45.0,Sales,Bachelors,West,Yes,22.3,"$8,511.85",6.9,83.5,6.68
1378,37.0,Engineering,Bachelors,West,No,19.2,"$11,187.97",7.8,83.3,0.08
1440,34.0,Marketing,Bachelors,North,No,8.7,"$6,918.07",4.7,47.1,0.27
1063,58.0,Marketing,Masters,North,No,31.7,"$10,470.81",4.6,72.7,0.25
1407,29.0,Engineering,PhD,East,No,4.7,"$9,490.05",7.4,85.8,
1335,51.0,Sales,Bachelors,West,No,30.6,"$9,938.79",5.5,67.2,2.83
1136,52.0,Sales,Bachelors,North,Yes,22.9,"$8,688.48",8.4,72.2,3.97
1373,41.0,Engineering,PhD,East,Yes,23.0,"$12,614.43",6.7,63.4,
1393,46.0,Marketing,Masters,North,Yes,24.1,"$9,145.77",,100.0,0.24
1262,39.0,Finance,Masters,West,Yes,13.2,"$8,574.07",5.3,85.6,
1275,49.0,Support,Bachelors,South,Yes,26.3,"$8,600.12",7.7,78.8,0.72
1403,51.0,Support,Bachelors,West,Yes,35.3,"$9,700.32",6.6,82.3,
1091,41.0,Sales,High School,East,No,23.8,"$9,054.69",,56.3,0.44
1429,31.0,Sales,Masters,North,No,6.1,"$6,076.34",7.8,,
1030,47.0,Support,Bachelors,North,No,26.2,"$8,852.13",9.1,52.2,4.19
1286,33.0,Engineering,Bachelors,North,Yes,11.2,"$10,328.78",7.3,77.2,
1517,44.0,Engineering,Masters,East,No,27.2,"$12,628.98",6.5,69.1,0.01
1202,57.0,HR,Bachelors,South,No,35.0,"$10,805.50",,75.6,4.75
1532,44.0,Support,High School,South,Yes,19.9,"$7,887.64",6.9,69.0,
1632,37.0,Finance,Bachelors,North,No,15.5,"$9,081.51",8.9,77.1,8.84
1446,44.0,Support,Bachelors,West,No,26.8,"$8,405.67",2.9,55.8,15.14
1307,43.0,Engineering,Masters,East,No,25.5,"$13,153.29",4.2,58.6,17.8
1161,32.0,Sales,High School,North,No,8.5,"$6,590.50",5.5,65.5,
1248,41.0,Engineering,Bachelors,South,No,16.9,"$11,224.00",,48.5,0.4
1573,36.0,Engineering,Masters,South,No,11.1,"$10,469.24",9.1,83.9,
1104,40.0,HR,Bachelors,West,Yes,19.8,"$8,827.59",7.1,67.6,0.33
1415,33.0,Sales,Bachelors,South,No,14.1,"$7,817.62",7.2,51.2,0.45
1334,51.0,Finance,Bachelors,South,No,25.9,"$10,462.92",8.4,,
1430,,Finance,Bachelors,West,Yes,6.7,"$7,677.75",,83.1,
1166,22.0,Engineering,Masters,East,No,0.0,"$8,773.90",8.1,45.2,
1591,33.0,HR,Masters,North,Yes,4.8,"$6,092.07",8.6,74.7,
1081,34.0,Support,Bachelors,North,No,15.1,"$7,148.97",5.6,82.4,0.22
1340,48.0,HR,Masters,North,No,22.9,"$8,634.02",8.2,60.0,7.82
1643,52.0,Sales,Bachelors,West,No,30.2,"$9,579.15",5.9,91.3,
1004,58.0,Support,Bachelors,East,Yes,38.5,"$10,163.84",8.7,69.4,
1531,21.0,Support,Masters,South,No,8.7,"$6,065.36",5.8,74.6,4.29
1010,30.0,Engineering,Bachelors,West,No,8.0,"$9,902.88",5.9,65.2,
1474,42.0,Sales,Bachelors,West,Yes,18.4,"$7,874.42",10.0,69.6,
1434,36.0,Finance,Masters,North,Yes,17.0,"$9,084.94",9.4,60.1,2.41
1342,40.0,HR,Masters,West,No,22.0,"$8,904.86",9.3,69.1,1.91
1512,30.0,Finance,Masters,West,Yes,8.1,"$8,654.26",4.6,84.9,
1180,30.0,Support,Bachelors,North,No,9.4,"$6,210.40",5.0,58.3,0.32
1363,51.0,Sales,Bachelors,West,No,26.8,"$9,180.15",7.5,52.2,
1287,53.0,Sales,PhD,West,Yes,29.4,"$9,592.53",6.3,90.6,1.94
1196,22.0,Sales,Masters,West,No,0.0,"$5,260.87",6.6,80.7,13.28
1494,80.0,Engineering,Masters,North,Yes,24.1,"$12,127.49",6.2,86.5,2.51
1374,22.0,Engineering,Bachelors,West,No,0.0,"$8,450.20",7.7,78.1,6.02
1274,33.0,Marketing,Bachelors,North,Yes,5.7,"$6,749.27",,,8.12
1190,48.0,Engineering,Bachelors,West,No,26.9,"$12,458.74",9.5,87.4,
1041,45.0,Engineering,Bachelors,North,No,17.2,"$11,695.49",7.9,74.1,1.99
1269,31.0,Sales,Bachelors,West,Yes,8.2,"$6,671.73",,79.1,
1006,42.0,HR,Bachelors,West,No,19.1,"$8,849.70",7.4,83.5,
1635,30.0,Sales,PhD,East,No,11.1,"$7,030.36",6.2,54.1,
1344,22.0,Marketing,Bachelors,North,No,0.0,"$5,744.38",7.0,53.8,1.01
1360,42.0,Marketing,Bachelors,South,No,21.5,"$8,736.74",8.3,73.8,4.18
1039,36.0,Engineering,Masters,North,Yes,20.7,"$11,649.85",8.2,,0.03
1411,49.0,Support,PhD,South,No,24.0,"$8,317.17",7.1,91.4,
1612,43.0,Support,Bachelors,South,Yes,18.8,"$7,901.71",7.0,96.4,
1638,,Support,Bachelors,West,No,10.9,"$6,438.46",8.7,83.3,
1554,42.0,Finance,Masters,West,Yes,14.4,"$8,740.46",6.8,74.3,1.01
1163,44.0,Engineering,PhD,South,No,22.3,"$12,035.93",5.1,76.4,3.68
1068,49.0,Engineering,High School,West,Yes,26.9,"$13,203.84",9.0,,
1125,45.0,Sales,High School,West,No,24.0,"$8,862.16",6.9,,0.21
1040,42.0,Support,Bachelors,West,No,18.9,"$7,916.10",8.5,61.9,2.88
1396,32.0,Engineering,Bachelors,East,No,6.8,"$9,683.15",7.7,,1.46
1508,54.0,Finance,High School,South,No,26.4,"$10,778.79",8.4,77.6,22.57
1242,34.0,Support,PhD,East,No,14.0,"$7,021.44",7.7,71.5,1.32
1148,37.0,Marketing,Bachelors,West,No,13.8,"$7,883.06",7.0,62.6,
1400,33.0,Engineering,Bachelors,East,No,16.8,"$11,106.26",8.1,82.7,13.47
1447,51.0,HR,Bachelors,East,No,29.9,"$10,038.21",5.6,58.5,1.03
1594,45.0,Marketing,High School,North,No,18.7,"$8,325.64",7.1,55.9,1.87
1480,40.0,Engineering,PhD,South,No,19.0,"$11,866.28",3.7,80.4,5.32
1334,51.0,Finance,Bachelors,South,No,25.9,"$10,462.92",8.4,,
1469,35.0,Sales,Bachelors,North,Yes,10.7,"$6,711.91",5.8,,0.24
1032,41.0,HR,Bachelors,East,Yes,15.6,"$7,792.42",10.0,49.7,3.91
1541,32.0,HR,Bachelors,South,Yes,9.8,"$7,074.29",6.6,60.0,
1433,29.0,Support,PhD,East,No,4.9,"$5,675.51",8.1,78.9,
1313,23.0,Engineering,High School,South,No,3.2,"$9,031.89",8.0,90.3,1.51
1096,42.0,Marketing,Bachelors,South,Yes,16.9,"$8,282.84",6.1,73.9,
1553,34.0,Sales,Masters,North,No,10.4,"$6,706.72",6.9,57.6,
1258,40.0,Sales,High School,West,No,17.8,"$7,732.21",8.8,55.8,7.27
1188,23.0,Sales,PhD,North,No,0.0,"$5,216.55",6.4,,4.8
1557,32.0,Engineering,Masters,West,No,5.8,"$33,007.08",5.4,87.6,
1147,36.0,Engineering,High School,North,No,9.5,"$10,143.29",6.4,74.1,
1487,44.0,Engineering,Bachelors,North,No,28.8,"$12,965.94",8.0,57.8,2.7
1075,35.0,Sales,High School,West,No,9.5,"$7,095.06",6.4,,5.09
1497,50.0,Engineering,Masters,North,Yes,32.6,"$13,563.33",5.0,83.4,
1448,34.0,Marketing,Masters,West,Yes,11.5,"$7,448.72",6.4,83.9,
1062,44.0,Engineering,Masters,West,No,27.3,"$12,477.59",7.6,70.4,0.81
1503,36.0,HR,High School,North,Yes,14.8,"$7,885.84",6.0,,5.82
1290,39.0,Sales,High School,North,Yes,18.9,"$8,414.93",7.3,56.0,
1077,30.0,Engineering,Bachelors,West,No,5.7,"$10,325.57",7.4,69.2,
1604,23.0,Support,Masters,North,Yes,0.0,"$4,618.59",,87.4,
1398,52.0,Engineering,Masters,South,Yes,30.5,"$12,945.04",4.8,,1.64
1187,52.0,Engineering,Masters,South,No,29.4,"$13,168.99",6.8,67.4,0.52
1351,41.0,Marketing,High School,North,Yes,20.8,"$8,887.32",7.4,77.7,
1069,34.0,Sales,Masters,North,No,12.9,"$7,298.21",6.5,68.6,0.03
1418,29.0,Support,Masters,North,No,8.5,"$5,772.23",5.5,47.7,2.86
1605,60.0,HR,High School,South,No,37.9,"$10,991.88",5.9,59.4,
1119,36.0,Engineering,High School,East,No,6.8,"$9,468.16",3.9,56.4,
1439,25.0,Support,Bachelors,South,Yes,2.6,"$4,958.50",5.7,,4.9
1005,40.0,Sales,Masters,West,No,16.8,"$7,744.34",5.9,83.0,3.81
1017,31.0,Marketing,Masters,West,Yes,7.7,"$6,909.07",8.2,60.3,2.04
1526,42.0,Engineering,Masters,West,No,18.8,"$11,646.79",8.1,61.7,
1422,53.0,Sales,Masters,North,No,29.7,"$10,092.03",6.5,77.5,0.44
1263,46.0,Engineering,PhD,West,Yes,20.8,"$45,268.47",7.5,68.0,1.16
1020,42.0,Marketing,Bachelors,West,Yes,22.0,"$8,907.32",7.0,46.1,
1600,38.0,Marketing,PhD,South,No,19.9,"$8,850.83",4.8,69.9,1.23
1201,48.0,Support,Bachelors,West,Yes,28.6,"$9,373.27",8.7,,0.51
1405,38.0,HR,Bachelors,East,No,17.2,"$7,925.09",8.1,72.1,
1636,25.0,Sales,PhD,East,No,1.5,"$5,226.64",6.4,56.8,
1118,22.0,Support,High School,East,Yes,0.2,"$4,675.92",7.4,,6.5
1444,38.0,Sales,Bachelors,East,Yes,12.6,"$7,010.32",7.4,74.5,1.94
1079,34.0,Marketing,Bachelors,East,No,19.5,"$9,035.59",6.8,,
1057,38.0,Engineering,Masters,North,No,13.4,"$11,295.04",,88.8,0.64
1058,48.0,Marketing,Masters,South,No,22.5,"$9,060.23",6.2,74.6,6.77
1181,85.0,Finance,Masters,South,No,4.4,"$7,274.65",6.2,86.4,
1538,,Sales,PhD,South,Yes,10.6,"$6,703.96",7.4,66.2,
1043,,Support,Bachelors,North,Yes,8.5,"$5,714.51",8.8,65.8,
1134,49.0,Engineering,Masters,North,No,27.8,"$12,572.01",5.8,63.3,0.48
1315,,Engineering,PhD,South,Yes,26.1,"$12,459.91",9.1,56.9,
1545,45.0,Sales,Masters,West,No,19.3,"$7,785.36",7.0,87.2,1.64
1251,38.0,Support,Bachelors,North,No,14.3,"$6,625.38",4.2,77.2,6.27
1431,33.0,HR,Bachelors,East,No,9.5,"$6,589.06",,86.6,0.37
1603,55.0,Finance,High School,West,Yes,33.7,"$11,654.31",,,
1476,46.0,Engineering,Bachelors,East,No,23.8,"$12,215.11",8.7,81.4,
1193,32.0,Sales,Bachelors,East,No,8.7,"$6,667.34",6.1,69.2,0.66
1408,37.0,Finance,Bachelors,South,Yes,16.7,"$9,258.89",8.5,74.9,4.4
1423,33.0,Sales,Bachelors,South,No,11.2,"$6,597.88",6.1,78.0,6.38
1389,34.0,Sales,Bachelors,West,No,7.2,"$6,083.29",8.0,,
1558,43.0,Engineering,Bachelors,West,No,22.0,"$11,901.75",5.6,43.6,1.19
1356,29.0,Marketing,Bachelors,West,No,8.3,"$6,806.86",3.5,71.1,0.43
1158,24.0,Support,Bachelors,East,Yes,5.7,"$5,554.36",7.5,70.7,
1449,42.0,Sales,Masters,North,No,17.7,"$8,447.36",6.2,96.6,
1412,35.0,Support,Masters,East,No,17.1,"$7,579.55",6.9,95.6,4.3
1642,43.0,Finance,Masters,North,No,19.7,"$9,402.70",,70.2,
1495,28.0,Support,Bachelors,West,Yes,5.6,"$5,507.88",,54.1,4.17
1103,51.0,Engineering,Bachelors,North,No,29.4,"$12,808.77",8.7,58.6,
1053,55.0,Support,Bachelors,West,No,32.2,"$9,541.52",6.0,57.5,11.23
1428,50.0,Finance,Bachelors,East,No,25.2,"$10,431.40",10.0,81.1,8.89
1319,45.0,Engineering,Bachelors,West,Yes,26.5,"$13,165.71",,38.2,3.33
1098,48.0,Sales,Bachelors,South,No,26.1,"$8,987.69",6.8,80.5,5.34
1354,49.0,Marketing,Bachelors,South,No,25.2,"$9,202.70",7.7,91.2,11.91
1129,40.0,Sales,Masters,East,No,22.6,"$8,830.79",10.0,75.1,
1178,41.0,HR,Bachelors,West,Yes,21.7,"$8,602.70",6.8,52.1,4.45
1111,39.0,Engineering,Masters,North,No,18.3,"$11,086.00",8.4,57.6,
1556,52.0,Engineering,High School,West,No,34.8,"$14,119.05",8.0,76.6,3.26
1401,37.0,Engineering,Masters,West,Yes,18.4,"$11,586.46",9.0,59.5,
1300,55.0,Marketing,Bachelors,North,Yes,30.7,"$10,199.14",9.3,67.3,
1460,25.0,Marketing,Bachelors,South,No,2.8,"$5,922.81",5.8,58.5,3.5
1143,35.0,HR,Bachelors,East,Yes,9.8,"$6,756.88",8.3,98.5,
1539,46.0,Sales,High School,South,No,25.1,"$8,883.38",,84.9,0.2
1007,,Support,Masters,East,No,3.3,"$5,119.48",4.9,79.5,
1268,45.0,Sales,High School,North,No,23.7,"$8,723.04",6.3,66.1,6.94
1519,22.0,Sales,Masters,North,No,3.1,"$5,450.59",7.7,68.0,
1238,37.0,Support,High School,West,No,10.2,"$6,271.26",6.8,82.7,2.42
1384,45.0,Engineering,PhD,West,Yes,25.6,"$12,219.83",8.4,85.2,
1059,40.0,Sales,Bachelors,East,Yes,14.8,"$7,455.77",8.9,63.3,4.21
1233,33.0,HR,PhD,South,Yes,10.6,"$6,850.49",6.1,65.8,2.55
1611,37.0,Marketing,High School,West,No,11.8,"$7,308.67",,56.9,0.92
1575,32.0,Finance,Bachelors,West,No,10.1,"$8,132.33",7.5,45.4,
1204,,Sales,PhD,North,No,19.8,"$8,289.18",,38.1,8.51
1465,22.0,Marketing,PhD,East,No,4.9,"$6,220.15",6.9,97.1,19.54
1285,35.0,Marketing,Masters,South,No,15.1,"$8,032.76",7.7,92.2,
1353,29.0,Marketing,High School,West,No,7.2,"$6,825.56",5.7,78.6,1.16
1003,43.0,Finance,Masters,West,Yes,22.6,"$9,809.49",5.7,52.9,8.97
1329,22.0,Marketing,Bachelors,North,No,0.0,"$15,285.74",4.7,100.0,0.4
1218,29.0,Sales,Masters,West,Yes,4.2,"$5,579.96",6.9,,0.24
1047,28.0,Engineering,Masters,East,No,5.3,"$9,589.12",7.3,93.9,
1226,33.0,HR,Masters,West,Yes,14.0,"$7,537.34",8.6,,1.01
1019,46.0,Finance,Bachelors,East,Yes,26.0,"$10,668.07",6.6,66.7,0.81
1169,41.0,Engineering,Masters,South,No,20.5,"$11,411.35",9.5,74.5,4.54
1459,32.0,Support,PhD,South,Yes,11.2,"$6,093.05",6.7,76.0,
1293,51.0,HR,Bachelors,South,No,30.9,"$10,179.18",7.3,49.5,0.59
1618,43.0,Engineering,PhD,South,Yes,21.8,"$11,923.30",6.3,79.4,
1507,26.0,Engineering,High School,West,No,3.0,"$8,933.87",6.9,91.5,7.06
1496,40.0,Marketing,Bachelors,West,Yes,18.8,"$8,533.85",5.3,81.9,
1284,46.0,Engineering,Masters,North,No,28.4,"$12,820.66",6.1,62.3,2.48
1625,47.0,HR,High School,East,Yes,23.2,"$8,676.78",3.9,77.3,1.6
1492,39.0,Marketing,Masters,South,Yes,16.9,"$8,665.42",6.2,74.6,
1606,30.0,Support,Masters,East,Yes,9.5,"$6,376.75",7.5,46.0,
1094,58.0,Engineering,High School,South,No,29.9,"$13,154.74",6.5,64.2,0.25
1214,47.0,Finance,Bachelors,West,No,24.5,"$10,201.76",6.9,70.5,
1259,38.0,Sales,Bachelors,East,No,17.9,"$8,338.30",7.0,54.7,5.35
1292,38.0,Sales,Masters,East,No,18.6,"$8,025.50",7.6,70.2,1.87
